x,u,d,xu,xd
0.000648815,3.3751510000000002,-8.1553,0.002189848596065,-0.0052912809695
0.000667179,3.3538609999999998,-8.102382,0.0022376256281189996,-0.005405739120378
0.000686062,3.332687,-8.049738999999999,0.002286429908594,-0.005522620037817999
0.00070548,3.311616,-7.997375,0.0023362788556799997,-0.005641988115
0.0007254480000000001,3.290651,-7.9453000000000005,0.0023871961866480003,-0.005763901994400001
0.00074598,3.2697890000000003,-7.893483999999999,0.0024391971982200005,-0.00588838119432
0.000767094,3.24904,-7.84196,0.00249231908976,-0.00601552046424
0.000788805,3.228394,-7.7907020000000005,0.00254657332917,-0.00614534469111
0.0008111310000000001,3.207854,-7.739716,0.0026019898228740006,-0.006277923578796
0.0008340880000000001,3.187417,-7.689009,0.002658586270696,-0.006413310138792001
