xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.691434,0.5,0.243849,0.0296897
0.0001,-0.1,0.691434,1,0.170418,0.0201679
0.0001,-0.1,0.691434,1.5,0.143282,0.016737
0.0001,-0.1,0.691434,2,0.128185,0.0148502
0.0001,-0.1,0.691434,2.5,0.118208,0.0136123
0.0001,-0.1,0.691434,3,0.11096,0.0127172
0.0001,-0.1,0.691434,4,0.100891,0.0114798
0.0001,-0.1,0.691434,5,0.0940458,0.0106424
0.0001,-0.1,0.691434,7.5,0.083342,0.00933873
0.0001,-0.1,0.691434,10,0.0768453,0.00855036
0.0001,-0.1,0.725342,0.5,0.162629,0.0178083
0.0001,-0.1,0.725342,1,0.110395,0.0117991
0.0001,-0.1,0.725342,1.5,0.091541,0.00967479
0.0001,-0.1,0.725342,2,0.0811703,0.00851728
0.0001,-0.1,0.725342,2.5,0.0743664,0.00776216
0.0001,-0.1,0.725342,3,0.0694479,0.00721841
0.0001,-0.1,0.725342,4,0.0626509,0.00646979
0.0001,-0.1,0.725342,5,0.0580538,0.00596521
0.0001,-0.1,0.725342,7.5,0.0509016,0.00518262
0.0001,-0.1,0.725342,10,0.0465806,0.00471098
0.0001,-0.1,0.759251,0.5,0.101061,0.0100006
0.0001,-0.1,0.759251,1,0.0665063,0.00644998
0.0001,-0.1,0.759251,1.5,0.0543329,0.00521981
0.0001,-0.1,0.759251,2,0.0477142,0.00455591
0.0001,-0.1,0.759251,2.5,0.0434031,0.00412539
0.0001,-0.1,0.759251,3,0.0403025,0.00381664
0.0001,-0.1,0.759251,4,0.0360393,0.00339332
0.0001,-0.1,0.759251,5,0.0331698,0.00310909
0.0001,-0.1,0.759251,7.5,0.0287264,0.00266984
0.0001,-0.1,0.759251,10,0.0260526,0.0024059
0.0001,-0.1,0.793159,0.5,0.0573844,0.00516216
0.0001,-0.1,0.793159,1,0.0365133,0.00323176
0.0001,-0.1,0.793159,1.5,0.0293456,0.0025773
0.0001,-0.1,0.793159,2,0.025495,0.00222769
0.0001,-0.1,0.793159,2.5,0.0230052,0.00200237
0.0001,-0.1,0.793159,3,0.0212236,0.00184147
0.0001,-0.1,0.793159,4,0.018786,0.00162176
0.0001,-0.1,0.793159,5,0.0171529,0.00147479
0.0001,-0.1,0.793159,7.5,0.0146344,0.0012484
0.0001,-0.1,0.793159,10,0.0131239,0.00111269
0.0001,-0.1,0.827067,0.5,0.0289047,0.0023802
0.0001,-0.1,0.827067,1,0.0177151,0.00144053
0.0001,-0.1,0.827067,1.5,0.0139759,0.00112951
0.0001,-0.1,0.827067,2,0.0119923,0.000965172
0.0001,-0.1,0.827067,2.5,0.0107194,0.000859953
0.0001,-0.1,0.827067,3,0.00981316,0.000785143
0.0001,-0.1,0.827067,4,0.00857922,0.000683405
0.0001,-0.1,0.827067,5,0.00775602,0.000615592
0.0001,-0.1,0.827067,7.5,0.006491,0.000511419
0.0001,-0.1,0.827067,10,0.005734,0.000449067
0.0001,-0.1,0.860976,0.5,0.0123011,0.000934498
0.0001,-0.1,0.860976,1,0.00721935,0.000543385
0.0001,-0.1,0.860976,1.5,0.00557182,0.000417417
0.0001,-0.1,0.860976,2,0.00470955,0.000351663
0.0001,-0.1,0.860976,2.5,0.00416056,0.000309855
0.0001,-0.1,0.860976,3,0.00377169,0.000280264
0.0001,-0.1,0.860976,4,0.00324467,0.000240182
0.0001,-0.1,0.860976,5,0.00289442,0.000213551
0.0001,-0.1,0.860976,7.5,0.00235758,0.000172717
0.0001,-0.1,0.860976,10,0.00203678,0.000148288
0.0001,-0.1,0.894884,0.5,0.00404214,0.000285696
0.0001,-0.1,0.894884,1,0.00224988,0.000158014
0.0001,-0.1,0.894884,1.5,0.00168874,0.000118203
0.0001,-0.1,0.894884,2,0.0013994,9.77046e-05
0.0001,-0.1,0.894884,2.5,0.00121668,8.47686e-05
0.0001,-0.1,0.894884,3,0.00108791,7.56536e-05
0.0001,-0.1,0.894884,4,0.000914114,6.33509e-05
0.0001,-0.1,0.894884,5,0.000798957,5.51953e-05
0.0001,-0.1,0.894884,7.5,0.000622591,4.26905e-05
0.0001,-0.1,0.894884,10,0.00051724,3.51981e-05
0.0001,-0.1,0.928792,0.5,0.000840692,5.57745e-05
0.0001,-0.1,0.928792,1,0.000435862,2.88059e-05
0.0001,-0.1,0.928792,1.5,0.000314365,2.07297e-05
0.0001,-0.1,0.928792,2,0.000252698,1.66333e-05
0.0001,-0.1,0.928792,2.5,0.000214023,1.40646e-05
0.0001,-0.1,0.928792,3,0.000186835,1.22587e-05
0.0001,-0.1,0.928792,4,0.000150126,9.81972e-06
0.0001,-0.1,0.928792,5,0.000125707,8.19609e-06
0.0001,-0.1,0.928792,7.5,8.78458e-05,5.6763e-06
0.0001,-0.1,0.928792,10,6.48318e-05,4.13463e-06
0.0001,-0.1,0.962701,0.5,6.00404e-05,3.77253e-06
0.0001,-0.1,0.962701,1,2.78793e-05,1.7493e-06
0.0001,-0.1,0.962701,1.5,1.86185e-05,1.16899e-06
0.0001,-0.1,0.962701,2,1.38324e-05,8.70989e-07
0.0001,-0.1,0.962701,2.5,1.06877e-05,6.76801e-07
0.0001,-0.1,0.962701,3,8.33325e-06,5.32769e-07
0.0001,-0.1,0.962701,4,4.80612e-06,3.19839e-07
0.0001,-0.1,0.962701,5,2.08164e-06,1.57858e-07
0.0001,-0.1,0.962701,7.5,-3.21312e-06,-1.49696e-07
0.0001,-0.1,0.962701,10,-7.74374e-06,-4.11847e-07
0.0001,-0.1,9.72476e-05,0.5,3.90744,20.7022
0.0001,-0.1,9.72476e-05,1,14.3047,26.6369
0.0001,-0.1,9.72476e-05,1.5,19.8299,29.7587
