xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.000151991,1.5,34.64,24.2257
0.0001,-0.1,0.000151991,2,37.5561,26.2473
0.0001,-0.1,0.000151991,2.5,39.773,27.7804
0.0001,-0.1,0.000151991,3,41.5611,29.0149
0.0001,-0.1,0.000151991,4,44.343,30.9315
0.0001,-0.1,0.000151991,5,46.4694,32.3936
0.0001,-0.1,0.000151991,7.5,50.2646,34.9971
0.0001,-0.1,0.000151991,10,52.9114,36.8084
0.0001,-0.1,0.000156293,0.5,22.5744,15.8006
0.0001,-0.1,0.000156293,1,30.1956,21.1381
0.0001,-0.1,0.000156293,1.5,34.4038,24.0655
0.0001,-0.1,0.000156293,2,37.2935,26.0685
0.0001,-0.1,0.000156293,2.5,39.4898,27.5872
0.0001,-0.1,0.000156293,3,41.2612,28.8098
0.0001,-0.1,0.000156293,4,44.0166,30.7079
0.0001,-0.1,0.000156293,5,46.1225,32.1556
0.0001,-0.1,0.000156293,7.5,49.8805,34.733
0.0001,-0.1,0.000156293,10,52.5009,36.5258
0.0001,-0.1,0.000160717,0.5,22.4406,15.7125
0.0001,-0.1,0.000160717,1,29.998,21.005
0.0001,-0.1,0.000160717,1.5,34.169,23.9062
0.0001,-0.1,0.000160717,2,37.0323,25.8906
0.0001,-0.1,0.000160717,2.5,39.2082,27.395
0.0001,-0.1,0.000160717,3,40.963,28.6059
0.0001,-0.1,0.000160717,4,43.6921,30.4855
0.0001,-0.1,0.000160717,5,45.7777,31.9189
0.0001,-0.1,0.000160717,7.5,49.4988,34.4704
0.0001,-0.1,0.000160717,10,52.0931,36.2449
0.0001,-0.1,0.000165265,0.5,22.3075,15.6247
0.0001,-0.1,0.000165265,1,29.8014,20.8725
0.0001,-0.1,0.000165265,1.5,33.9353,23.7476
0.0001,-0.1,0.000165265,2,36.7725,25.7136
0.0001,-0.1,0.000165265,2.5,38.9282,27.2038
0.0001,-0.1,0.000165265,3,40.6664,28.4031
0.0001,-0.1,0.000165265,4,43.3695,30.2643
0.0001,-0.1,0.000165265,5,45.4348,31.6835
0.0001,-0.1,0.000165265,7.5,49.1193,34.2093
0.0001,-0.1,0.000165265,10,51.6877,35.9656
0.0001,-0.1,0.000169943,0.5,22.175,15.5373
0.0001,-0.1,0.000169943,1,29.6059,20.7407
0.0001,-0.1,0.000169943,1.5,33.703,23.5899
0.0001,-0.1,0.000169943,2,36.5141,25.5376
0.0001,-0.1,0.000169943,2.5,38.6498,27.0136
0.0001,-0.1,0.000169943,3,40.3716,28.2014
0.0001,-0.1,0.000169943,4,43.0488,30.0444
0.0001,-0.1,0.000169943,5,45.0941,31.4495
0.0001,-0.1,0.000169943,7.5,48.7422,33.9498
0.0001,-0.1,0.000169943,10,51.2848,35.6881
0.0001,-0.1,0.000174753,0.5,22.0431,15.4503
0.0001,-0.1,0.000174753,1,29.4113,20.6095
0.0001,-0.1,0.000174753,1.5,33.4718,23.4329
0.0001,-0.1,0.000174753,2,36.2572,25.3625
0.0001,-0.1,0.000174753,2.5,38.3729,26.8244
0.0001,-0.1,0.000174753,3,40.0784,28.0007
0.0001,-0.1,0.000174753,4,42.73,29.8257
0.0001,-0.1,0.000174753,5,44.7553,31.2168
0.0001,-0.1,0.000174753,7.5,48.3674,33.6918
0.0001,-0.1,0.000174753,10,50.8845,35.4121
0.0001,-0.1,0.000179699,0.5,21.9117,15.3636
0.0001,-0.1,0.000179699,1,29.2177,20.4789
0.0001,-0.1,0.000179699,1.5,33.2419,23.2767
0.0001,-0.1,0.000179699,2,36.0017,25.1882
0.0001,-0.1,0.000179699,2.5,38.0976,26.6362
0.0001,-0.1,0.000179699,3,39.7869,27.8011
0.0001,-0.1,0.000179699,4,42.4129,29.6082
0.0001,-0.1,0.000179699,5,44.4185,30.9854
0.0001,-0.1,0.000179699,7.5,47.9948,33.4352
0.0001,-0.1,0.000179699,10,50.4865,35.1378
0.0001,-0.1,0.000184785,0.5,21.781,15.2772
0.0001,-0.1,0.000184785,1,29.0251,20.3489
